ID,labels
Id_01,Non-sarcastic
Id_02,Non-sarcastic
Id_03,Non-sarcastic
Id_04,Non-sarcastic
Id_05,Sarcastic
Id_06,Sarcastic
Id_07,Sarcastic
Id_08,Sarcastic
Id_09,Non-sarcastic
Id_10,Sarcastic
Id_11,Sarcastic
Id_12,Non-sarcastic
Id_13,Non-sarcastic
Id_14,Non-sarcastic
Id_15,Non-sarcastic
Id_16,Non-sarcastic
Id_17,Non-sarcastic
Id_18,Sarcastic
Id_19,Non-sarcastic
Id_20,Sarcastic
Id_21,Non-sarcastic
Id_22,Non-sarcastic
Id_23,Non-sarcastic
Id_24,Non-sarcastic
Id_25,Non-sarcastic
Id_26,Sarcastic
Id_27,Non-sarcastic
Id_28,Non-sarcastic
Id_29,Non-sarcastic
Id_30,Non-sarcastic
Id_31,Non-sarcastic
Id_32,Non-sarcastic
Id_33,Non-sarcastic
Id_34,Sarcastic
Id_35,Non-sarcastic
Id_36,Sarcastic
Id_37,Non-sarcastic
Id_38,Non-sarcastic
Id_39,Non-sarcastic
Id_40,Non-sarcastic
Id_41,Sarcastic
Id_42,Non-sarcastic
Id_43,Non-sarcastic
Id_44,Sarcastic
Id_45,Sarcastic
Id_46,Non-sarcastic
Id_47,Non-sarcastic
Id_48,Non-sarcastic
Id_49,Non-sarcastic
Id_50,Sarcastic
Id_51,Non-sarcastic
Id_52,Non-sarcastic
Id_53,Non-sarcastic
Id_54,Non-sarcastic
Id_55,Non-sarcastic
Id_56,Non-sarcastic
Id_57,Sarcastic
Id_58,Sarcastic
Id_59,Non-sarcastic
Id_60,Non-sarcastic
Id_61,Non-sarcastic
Id_62,Non-sarcastic
Id_63,Non-sarcastic
Id_64,Sarcastic
Id_65,Non-sarcastic
Id_66,Non-sarcastic
Id_67,Non-sarcastic
Id_68,Non-sarcastic
Id_69,Non-sarcastic
Id_70,Sarcastic
Id_71,Non-sarcastic
Id_72,Sarcastic
Id_73,Sarcastic
Id_74,Non-sarcastic
Id_75,Sarcastic
Id_76,Non-sarcastic
Id_77,Non-sarcastic
Id_78,Non-sarcastic
Id_79,Non-sarcastic
Id_80,Non-sarcastic
Id_81,Non-sarcastic
Id_82,Sarcastic
